Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,61.14346154,67.86608577,68.02690408,72.08324718,77.73794918
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,71831696728,70097956089,74711922906,77417896456,81889326057
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,2128.125938,2023.834656,2096.093111,2110.239384,2168.133765
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.45131466,2.260314201,2.647003202,1.189228128,3.911603419
Afghanistan,AFG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,169146608,93591315.3,51533896.77,119435105.7,23404553.65
Afghanistan,AFG,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,36.1,47.9,71.4,71.4,71.4
Afghanistan,AFG,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,39.25519,38.93563,37.13062,44.20343,44.06497
Albania,ALB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,125.9616667,124.1425,119.1,107.9891667,109.8508333
Albania,ALB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,33585628604,34739803499,36696822867,38690796101,41723422036
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,11658.83071,12078.78426,12770.96642,13498.15799,14618.30061
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.218726375,3.314980684,3.80259872,4.019345617,2.087711996
Albania,ALB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,989578334.8,1044389555,1022757857,1204383364,1201022154
Albania,ALB,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,36.9,36.9,37.3,37.3,36.6
Albania,ALB,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,58.07559,64.16093,66.8377,66.99561,67.74847
Algeria,DZA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,100.6914333,109.4430667,110.9730167,116.5937917,119.3535583
Algeria,DZA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,4.77358E+11,4.71383E+11,4.85801E+11,5.0345E+11,5.17606E+11
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12071.81418,11685.45142,11809.48303,12007.77471,12120.40637
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.700000001,3.200000002,1.299999998,1.200000001,0.999999998
Algeria,DZA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,-537792920.9,1638263954,1230243451,1466116068,1381200050
Algeria,DZA,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,73.2,66,66.1,66.1,66.1
Algeria,DZA,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,44.2486,46.10981,46.22686,48.49803,48.59758
Angola,AGO,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,120.0607017,163.6564341,165.9159507,252.8557477,364.825805
Angola,AGO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2.04604E+11,2.04875E+11,2.17987E+11,2.20289E+11,2.22666E+11
Angola,AGO,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,7274.090475,7027.146634,7216.061373,7043.95536,6882.279123
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.943571561,-2.580111222,-0.147149825,-1.316361689,-0.702272958
Angola,AGO,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,10028215163,-179517618.9,-7397295409,-6456076413,-4098478748
Angola,AGO,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,49,48,49.1,49.1,49.1
Angola,AGO,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,37.57368,37.65132,39.00774,41.20205,41.28838
Argentina,ARG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,9.233185525,14.75817509,16.56270693,28.09499167,48.14789167
Argentina,ARG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,8.67177E+11,8.85228E+11,1.03933E+12,1.03646E+12,1.03394E+12
Argentina,ARG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,20105.19899,20307.87005,23597.11775,23294.09868,23007.83659
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,11758994011,3260164342,11516861462,11716769819,6649187838
Argentina,ARG,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,137.6,106,106,106,106.3
Argentina,ARG,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,56.73295,57.2443,57.31005,58.18388,58.96151
Armenia,ARM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,477.9183066,480.4881508,482.7163938,482.9879466,480.4451288
